PPM,Dynamic Exception,Dynamic Exception Error,Dynamic Stackless,Dynamic Stackless Error,Flags,Flags Error,Inline Autobox,Inline Autobox Error,Inline Class,Inline Class Error,Result (Primitive),Result (Primitive) Error,Result (w/ Wrapper),Result (w/ Wrapper) Error,Sealed Class,Sealed Class Error,Static Exception,Static Exception Error
1,6.340,0.394,6.072,0.229,7.687,0.740,38.000,1.493,8.989,0.352,37.605,2.582,22.838,4.511,31.311,1.478,5.981,0.205
2,6.110,0.169,6.083,0.252,7.703,0.795,37.513,2.498,8.975,0.393,37.649,2.593,23.866,5.332,32.804,2.395,6.165,0.253
3,6.130,0.298,6.070,0.251,7.768,0.760,37.928,2.140,8.984,0.383,36.593,1.547,22.151,3.992,31.278,1.061,5.963,0.170
4,6.260,0.323,6.123,0.209,7.696,0.754,37.880,1.132,9.009,0.527,35.599,1.163,22.641,4.116,32.149,0.984,6.246,0.451
5,6.091,0.226,6.088,0.259,7.884,0.823,38.164,1.587,9.334,0.599,35.384,1.082,22.382,4.287,31.254,0.982,5.991,0.216
6,6.119,0.284,6.078,0.257,7.887,0.868,37.614,1.726,8.990,0.389,33.938,0.659,23.053,3.949,31.147,0.993,6.093,0.319
7,6.217,0.394,6.082,0.214,7.677,0.763,37.989,0.726,8.975,0.488,30.054,0.060,22.523,4.357,31.262,1.392,5.969,0.201
8,6.111,0.295,6.189,0.347,7.671,0.716,37.830,1.338,8.969,0.328,35.958,1.971,22.534,3.993,31.756,1.491,5.989,0.194
9,6.105,0.255,6.336,0.273,7.673,0.777,38.845,3.082,8.996,0.453,36.410,4.298,21.034,2.816,31.389,1.023,5.948,0.181
10,6.086,0.249,6.058,0.263,7.726,0.765,36.478,0.747,8.922,0.465,35.466,1.316,22.303,4.099,31.417,1.322,5.974,0.108
20,6.093,0.246,6.052,0.233,7.844,0.907,36.457,0.373,9.110,0.551,34.887,0.465,21.055,2.360,31.433,0.777,5.967,0.235
30,6.240,0.371,6.053,0.250,7.751,0.646,37.735,2.002,8.913,0.457,34.369,0.648,19.867,1.387,31.405,0.951,5.958,0.173
40,6.138,0.224,6.063,0.233,7.736,0.776,36.344,0.593,9.104,0.709,34.106,0.345,20.968,2.600,31.288,1.044,6.116,0.357
50,6.140,0.245,6.203,0.428,7.646,0.749,36.353,0.683,8.915,0.464,35.038,0.585,19.770,0.796,31.693,1.218,5.954,0.157
60,6.248,0.243,6.087,0.197,7.670,0.805,38.619,3.217,9.014,0.273,34.830,1.005,21.039,2.396,31.208,0.918,5.971,0.221
70,6.195,0.301,6.182,0.362,7.669,0.746,35.983,0.159,8.918,0.468,34.449,0.411,20.992,2.283,31.537,0.972,5.961,0.178
80,6.185,0.236,6.083,0.259,7.648,0.749,36.219,0.515,9.101,0.690,35.002,0.438,20.035,0.981,31.364,0.868,6.107,0.358
90,6.318,0.354,6.080,0.141,7.654,0.766,36.853,0.833,8.941,0.474,34.856,0.589,20.985,2.176,31.556,1.032,5.964,0.201
100,6.221,0.218,6.076,0.234,7.831,0.883,36.442,0.332,8.942,0.502,34.943,0.420,20.815,1.979,31.469,1.079,5.975,0.180
200,6.394,0.280,6.082,0.255,7.674,0.809,36.576,0.817,9.110,0.491,35.047,0.446,21.353,1.541,31.477,0.983,5.940,0.248
300,6.541,0.244,6.102,0.198,7.880,1.095,36.596,0.229,9.115,0.490,30.811,0.917,20.365,0.407,31.129,1.140,5.937,0.266
400,7.335,0.431,6.640,1.735,7.839,0.914,38.717,0.815,9.615,1.034,37.446,2.239,20.522,0.464,32.600,2.398,6.144,0.425
500,6.828,0.250,6.137,0.240,7.754,0.751,37.939,1.461,9.395,0.528,36.027,0.211,21.657,0.129,32.410,1.036,5.976,0.255
600,6.966,0.269,6.162,0.255,7.709,0.806,36.802,0.409,9.425,0.760,35.896,0.257,20.757,0.128,31.750,0.847,6.036,0.198
700,7.134,0.153,6.169,0.247,7.836,0.824,36.535,1.839,9.179,0.491,36.994,1.461,20.991,0.150,31.518,0.854,6.408,0.378
800,7.384,0.427,6.767,0.788,8.648,0.987,39.419,0.394,9.320,0.811,36.922,1.487,21.436,0.506,31.585,0.973,6.035,0.248
900,7.532,0.321,6.198,0.225,7.867,0.961,36.646,0.542,9.193,0.543,35.369,0.468,21.887,1.098,31.680,0.795,6.314,0.183
1000,7.527,0.204,6.332,0.328,7.723,0.837,37.950,2.169,9.187,0.357,37.093,1.128,21.499,0.268,32.490,0.769,6.054,0.233
2000,8.942,0.252,6.429,0.416,7.722,0.788,36.785,1.101,9.204,0.547,38.150,0.643,22.828,0.528,31.409,1.197,6.134,0.263
3000,10.495,0.390,6.434,0.224,7.765,0.731,37.559,1.569,9.197,0.526,41.478,2.279,24.074,0.183,32.570,2.321,6.260,0.244
4000,11.877,0.294,6.627,0.427,7.926,1.002,36.422,0.267,9.193,0.549,40.341,0.667,25.905,0.485,32.482,0.824,6.401,0.100
5000,13.227,0.332,6.813,0.302,7.814,0.784,37.932,1.822,9.210,0.468,40.901,1.801,27.948,1.530,31.387,1.550,6.408,0.246
6000,15.020,0.347,6.698,0.300,7.784,0.739,36.835,0.826,9.230,0.558,38.441,0.304,29.255,1.077,32.494,1.260,6.957,0.288
7000,15.999,0.158,6.795,0.288,7.784,0.811,38.923,2.922,9.285,0.567,46.670,2.348,29.625,0.196,33.849,1.792,6.605,0.203
8000,17.417,0.121,6.926,0.269,7.977,0.943,37.610,1.751,9.582,0.957,46.195,1.210,31.860,1.026,31.321,0.948,6.695,0.245
9000,18.903,0.293,7.084,0.360,7.831,0.810,36.774,0.403,9.410,0.691,48.858,0.502,34.309,0.601,32.499,0.874,6.758,0.243
10000,20.565,0.483,7.053,0.257,7.816,0.755,37.573,0.249,9.389,0.676,50.330,0.545,33.898,1.520,31.319,0.951,6.893,0.226
20000,34.706,0.367,8.096,0.107,7.924,0.736,37.862,0.870,9.571,0.717,65.280,0.530,47.785,1.784,32.049,0.632,7.870,0.228
30000,48.341,0.419,9.146,0.376,8.035,0.860,37.543,0.189,9.695,0.744,74.540,0.602,61.561,1.188,31.938,0.619,8.819,0.310
40000,62.222,0.638,10.388,0.706,8.176,0.854,37.673,0.408,9.846,0.822,90.612,0.546,75.404,0.412,31.645,0.939,9.674,0.265
50000,77.078,0.671,11.608,1.119,8.182,0.567,38.887,0.572,10.027,0.805,102.353,1.340,89.751,1.434,32.537,0.566,10.705,0.379
