ppm;dynamicException;dynamicException:error;dynamicStackless;dynamicStackless:error;flags;flags:error;inlineAutobox;inlineAutobox:error;inlineClass;inlineClass:error;resultPrimitive;resultPrimitive:error;resultResultWrapper;resultResultWrapper:error;sealedClass;sealedClass:error;staticException;staticException:error;
1;4.583;0.360;4.751;0.316;5.907;1.565;5.538;0.820;4.726;0.822;5.378;0.215;5.718;0.155;5.229;0.555;5.346;1.695;
2;4.297;0.285;4.241;0.338;5.431;1.440;5.361;0.546;4.286;0.362;5.174;0.077;5.334;0.097;5.827;0.391;4.446;0.366;
3;4.475;0.178;4.264;0.247;4.664;0.421;5.818;0.487;4.229;0.243;5.043;0.102;5.945;0.807;5.010;0.481;4.347;0.381;
4;4.253;0.359;4.262;0.248;4.532;0.398;5.782;0.049;4.200;0.345;5.174;0.130;5.316;0.051;5.346;0.816;6.996;0.408;
5;4.447;0.422;4.276;0.328;4.563;0.389;5.330;0.522;4.424;0.376;5.104;0.086;6.082;0.069;5.102;0.463;4.368;0.286;
6;4.291;0.356;4.365;0.333;4.577;0.461;5.403;0.781;5.272;0.326;5.443;0.159;5.334;0.088;5.114;0.439;4.144;0.282;
7;4.319;0.368;4.261;0.259;4.597;0.457;5.328;0.471;4.324;0.331;5.201;0.096;5.954;0.014;5.830;0.484;4.128;0.241;
8;4.305;0.235;4.278;0.162;4.541;0.353;5.209;0.464;4.352;0.410;5.268;0.147;5.410;0.178;5.026;0.458;4.126;0.257;
9;4.462;0.127;4.271;0.392;4.550;0.423;5.208;0.517;4.234;0.238;5.191;0.075;5.526;0.084;5.214;0.409;4.280;0.178;
10;4.327;0.289;4.984;1.124;4.540;0.334;5.219;0.425;4.424;0.341;5.194;0.049;5.268;0.075;5.281;0.388;4.258;0.306;
20;4.327;0.338;4.289;0.182;4.519;0.453;5.826;0.507;4.331;0.368;5.045;0.062;5.633;0.438;5.193;0.582;4.125;0.248;
30;4.508;0.419;4.285;0.169;4.536;0.356;5.282;0.151;4.296;0.453;5.351;0.238;5.511;0.373;5.028;0.353;4.319;0.341;
40;4.355;0.362;4.279;0.122;4.612;0.431;5.216;0.466;4.211;0.349;5.441;0.122;5.626;0.442;5.038;0.484;4.293;0.460;
50;4.404;0.258;4.292;0.130;4.519;0.455;5.255;0.355;4.464;0.266;5.276;0.220;5.678;0.429;5.079;0.165;5.351;1.522;
60;4.385;0.274;4.408;0.275;4.661;0.319;5.638;0.761;4.506;0.493;5.164;0.290;5.535;0.153;5.004;0.477;4.908;1.094;
70;4.567;0.427;4.409;0.251;4.704;0.458;5.602;0.669;4.562;0.500;5.171;0.059;6.053;0.099;5.607;0.380;4.766;0.424;
80;4.955;0.273;4.315;0.199;4.522;0.448;5.195;0.494;4.236;0.250;5.087;0.064;5.471;0.097;5.793;0.568;4.253;0.312;
90;4.516;0.264;4.240;0.344;4.639;0.356;5.210;0.534;4.323;0.358;5.729;0.568;5.496;0.120;5.830;0.391;4.162;0.117;
100;4.498;0.353;4.239;0.316;4.628;0.440;5.181;0.500;4.358;0.206;5.214;0.123;5.605;0.082;4.988;0.418;4.137;0.289;
200;4.403;0.228;4.183;0.220;4.485;0.222;5.286;0.528;4.327;0.383;5.624;0.176;5.663;0.216;5.047;0.347;4.138;0.301;
300;4.519;0.300;4.237;0.054;4.478;0.198;5.166;0.471;4.297;0.470;5.389;0.073;5.763;0.248;5.016;0.244;4.131;0.264;
400;4.930;0.214;4.179;0.236;4.475;0.184;5.159;0.508;4.320;0.368;5.643;0.316;5.835;0.128;5.843;0.296;4.235;0.263;
500;4.704;0.244;4.253;0.142;4.478;0.172;5.164;0.495;4.336;0.374;5.622;0.111;6.049;0.154;5.073;0.264;4.252;0.385;
600;4.879;0.085;4.252;0.073;4.478;0.219;5.184;0.485;4.226;0.372;5.715;0.051;6.146;0.097;5.725;1.061;4.290;0.343;
700;4.968;0.064;4.178;0.246;4.478;0.164;5.133;0.473;4.248;0.268;5.819;0.070;6.179;0.172;5.004;0.362;5.328;1.644;
800;5.180;0.061;4.256;0.345;4.484;0.175;5.130;0.399;4.327;0.348;5.946;0.154;6.364;0.309;5.042;0.300;4.337;0.433;
900;5.425;0.108;4.330;0.055;4.480;0.195;5.710;1.032;4.245;0.257;5.991;0.109;6.398;0.223;5.273;0.298;4.306;0.467;
1000;5.383;0.084;4.451;0.047;4.586;0.209;5.695;0.462;4.428;0.354;6.219;0.200;6.570;0.302;5.318;0.282;4.379;0.483;
2000;8.842;0.255;4.304;0.329;4.415;0.127;5.795;1.096;4.234;0.349;7.368;0.387;7.587;0.174;5.854;0.290;4.432;0.328;
3000;7.543;0.288;4.415;0.091;4.461;0.113;5.243;0.484;4.355;0.338;8.544;0.099;8.658;0.178;5.933;1.125;5.448;1.580;
4000;8.420;0.074;4.237;0.241;4.527;0.163;5.234;0.474;4.259;0.373;9.279;0.083;9.745;0.212;5.854;0.529;4.370;0.496;
5000;9.517;0.443;4.481;0.264;5.522;1.279;5.814;0.444;4.379;0.324;10.380;0.149;10.770;0.072;5.235;0.314;4.318;0.342;
6000;10.722;0.075;4.350;0.101;4.550;0.217;5.241;0.425;4.350;0.458;11.505;0.232;12.352;0.087;5.107;0.289;4.290;0.364;
7000;11.604;0.040;4.345;0.044;4.477;0.097;5.272;0.489;4.303;0.360;12.447;0.097;12.940;0.141;5.145;0.272;5.454;1.538;
8000;12.416;0.165;4.541;0.254;5.474;1.120;5.316;0.397;4.390;0.448;13.511;0.080;14.504;0.809;5.139;0.203;4.439;0.384;
9000;13.569;0.263;4.476;0.173;4.577;0.207;5.062;0.231;4.451;0.360;13.851;0.339;15.264;1.445;5.150;0.227;4.452;0.380;
10000;14.663;0.182;4.407;0.064;4.581;0.199;5.056;0.234;4.422;0.485;14.949;0.189;15.727;0.171;5.206;0.191;5.420;1.412;
20000;24.681;0.357;4.573;0.066;4.621;0.058;5.167;0.304;4.518;0.466;25.195;0.202;25.971;0.209;5.219;0.217;4.607;0.381;
