PPM,Dynamic Exception,Dynamic Exception Error,Dynamic Stackless,Dynamic Stackless Error,Flags,Flags Error,Inline Autobox,Inline Autobox Error,Inline Class,Inline Class Error,Result (Primitive),Result (Primitive) Error,Result (w/ Wrapper),Result (w/ Wrapper) Error,Sealed Class,Sealed Class Error,Static Exception,Static Exception Error
1,5.352,0.182,4.938,0.055,5.856,0.048,36.678,0.200,8.244,0.097,33.710,0.626,22.044,0.188,32.880,0.460,4.822,0.038
2,4.887,0.036,4.951,0.174,5.625,0.030,37.078,1.262,8.230,0.032,35.076,0.169,19.458,0.180,33.774,2.127,4.860,0.055
3,4.994,0.262,4.971,0.150,5.635,0.091,37.167,1.394,8.287,0.263,36.510,0.216,20.469,0.684,32.091,0.472,4.812,0.023
4,4.929,0.158,4.904,0.050,5.646,0.116,37.178,1.261,8.281,0.145,36.561,0.247,19.636,0.166,33.001,0.607,4.855,0.095
5,4.924,0.127,4.922,0.054,5.861,0.463,37.009,0.741,8.252,0.042,35.782,0.233,23.117,0.438,32.729,0.138,4.831,0.060
6,4.944,0.170,4.922,0.042,5.634,0.026,36.742,0.301,8.211,0.027,32.516,0.920,22.605,0.788,32.819,0.148,4.833,0.121
7,4.906,0.058,4.920,0.086,5.765,0.225,36.721,0.138,8.214,0.072,35.498,0.925,20.640,0.317,31.733,0.361,4.874,0.133
8,4.925,0.127,4.954,0.149,5.636,0.100,36.860,0.209,8.918,0.406,38.173,0.577,19.739,0.108,32.688,0.233,6.693,0.150
9,4.909,0.050,4.896,0.038,5.670,0.162,36.710,0.394,8.251,0.112,33.878,0.114,20.588,0.324,32.920,1.170,4.897,0.182
10,4.963,0.112,4.978,0.158,5.639,0.078,36.727,0.284,8.359,0.251,36.356,0.925,19.933,0.236,32.741,1.065,4.892,0.158
20,4.918,0.056,4.946,0.173,5.860,0.033,37.508,0.288,8.306,0.282,36.313,0.246,21.850,0.224,32.535,0.258,4.814,0.019
30,4.942,0.054,4.910,0.056,5.636,0.074,37.521,0.192,7.759,0.069,36.360,0.140,19.800,0.216,32.487,0.142,4.812,0.029
40,5.167,0.051,4.838,0.077,5.703,0.364,39.702,9.176,8.833,0.109,34.173,0.244,23.077,0.508,34.377,1.971,4.966,0.086
50,5.343,0.390,5.256,0.191,6.089,0.136,39.024,1.670,8.749,0.414,35.714,3.116,21.399,0.457,33.209,0.227,4.998,0.098
60,5.152,0.151,5.114,0.204,6.023,0.144,37.571,0.303,8.474,0.139,37.382,0.714,20.782,0.250,33.072,0.452,4.966,0.054
70,5.047,0.162,4.901,0.031,5.667,0.095,36.768,0.868,8.619,0.304,36.641,0.221,22.361,0.142,35.120,0.951,5.248,0.103
80,5.457,0.124,5.432,0.304,6.364,0.216,39.623,0.278,8.906,0.138,35.834,0.847,22.824,0.305,34.525,0.144,5.273,0.070
90,5.468,0.045,5.334,0.072,6.353,0.088,39.154,0.284,11.736,0.092,39.083,0.224,21.488,1.477,34.653,0.190,5.202,0.042
100,5.385,0.194,5.299,0.112,6.091,0.060,38.955,0.365,8.860,0.132,38.376,0.533,23.021,0.376,34.414,0.209,5.211,0.148
200,6.025,0.577,5.267,0.149,6.077,0.098,39.039,0.453,8.661,0.225,38.492,0.087,22.088,0.373,35.135,0.939,5.241,0.158
300,5.699,0.088,5.567,0.236,6.057,0.144,41.209,0.898,8.975,0.279,38.952,0.382,22.001,0.241,34.600,0.345,5.261,0.014
400,5.997,0.092,5.301,0.083,6.102,0.066,39.033,0.274,8.664,0.100,37.910,2.747,24.007,0.337,34.421,0.488,5.239,0.119
500,5.976,0.098,5.284,0.091,6.303,0.132,39.466,1.068,8.679,0.253,39.284,0.277,23.871,0.634,35.086,0.410,5.317,0.305
600,6.182,0.149,5.294,0.132,6.311,0.147,39.304,0.508,8.628,0.174,39.882,0.449,22.566,0.186,34.615,0.949,5.276,0.047
700,6.439,0.126,5.305,0.075,6.314,0.091,39.634,0.609,8.665,0.134,36.779,0.379,23.103,0.223,35.019,0.225,5.264,0.092
800,6.556,0.127,5.318,0.108,6.296,0.111,38.819,0.727,9.154,0.512,36.844,0.568,22.793,0.345,34.645,0.444,5.293,0.164
900,6.755,0.062,5.319,0.112,6.336,0.064,39.148,0.571,8.664,0.148,40.197,0.955,23.880,0.470,34.310,0.146,7.359,0.153
1000,7.051,0.454,5.352,0.065,6.395,0.125,39.137,0.271,8.707,0.107,37.383,0.432,23.871,0.276,34.476,0.278,5.316,0.065
2000,8.921,0.686,5.459,0.075,6.082,0.074,39.179,1.092,8.686,0.044,38.669,0.623,27.795,0.533,34.320,0.377,5.396,0.106
3000,9.868,0.112,5.794,0.140,6.090,0.059,40.415,3.968,8.801,0.296,43.806,0.875,28.814,0.481,35.372,0.912,5.465,0.096
4000,12.036,0.242,5.679,0.209,6.148,0.019,39.195,0.318,8.712,0.267,44.656,0.387,31.125,0.616,34.965,0.458,5.589,0.132
5000,13.653,0.220,7.757,0.148,6.130,0.143,39.148,0.441,8.701,0.103,46.270,0.388,31.911,0.384,35.057,0.686,5.875,0.338
6000,14.492,0.277,5.859,0.117,6.181,0.135,39.461,1.134,8.715,0.145,47.706,0.731,33.195,0.366,34.980,0.484,5.756,0.100
7000,17.040,0.367,5.986,0.084,6.153,0.065,39.191,0.618,8.768,0.176,49.311,0.771,33.138,0.845,34.829,0.183,5.907,0.057
8000,17.707,0.286,6.148,0.102,6.212,0.089,40.245,0.490,8.672,0.586,47.689,0.593,36.934,0.460,35.137,0.820,5.993,0.106
9000,20.497,0.323,6.202,0.140,6.185,0.063,38.760,0.491,8.814,0.147,50.727,0.903,35.616,0.587,36.102,3.123,6.070,0.206
10000,20.530,0.311,6.292,0.187,6.432,0.220,40.269,0.437,8.978,0.361,52.638,1.183,37.924,1.500,34.636,0.369,6.174,0.169
20000,38.870,0.496,7.340,0.089,6.560,0.156,40.393,0.354,8.840,0.168,67.710,0.607,52.857,1.102,34.666,0.224,7.093,0.168
30000,55.276,1.016,8.526,0.110,6.447,0.128,41.148,2.840,9.050,0.431,79.516,1.366,63.724,1.763,32.016,0.588,7.562,0.061
40000,62.434,0.716,10.104,0.320,6.071,0.070,40.083,5.161,8.498,0.318,90.026,0.889,77.145,0.777,32.755,1.233,8.386,0.293
50000,83.441,0.818,11.552,0.362,6.390,0.080,39.862,0.437,8.268,0.032,103.180,6.107,90.888,1.847,32.144,0.486,9.209,0.121
60000,90.880,0.768,10.667,0.037,6.576,0.163,38.493,0.425,8.415,0.136,113.593,0.997,102.742,0.743,32.082,0.204,10.449,0.204
70000,105.369,0.916,11.674,0.259,6.658,0.260,38.828,0.219,8.495,0.090,128.093,2.563,117.542,3.670,31.861,0.391,11.198,0.104
80000,118.675,3.638,12.530,0.198,6.690,0.042,39.634,1.110,9.096,0.110,143.123,0.830,134.208,2.513,32.779,2.847,12.048,0.230
90000,146.885,4.603,13.802,0.123,6.852,0.282,38.922,0.288,9.004,0.268,155.002,2.676,144.855,2.031,35.994,14.631,13.110,0.249
100000,146.810,1.957,14.782,0.420,6.894,0.067,39.297,0.326,9.133,0.083,168.882,0.788,157.883,0.630,31.740,0.467,13.853,0.290
200000,292.255,4.360,26.971,7.255,8.656,0.218,41.586,0.451,11.772,0.095,299.202,7.025,290.453,3.892,30.367,0.138,23.043,0.548
300000,470.685,1.405,33.587,0.574,9.832,0.236,42.637,0.468,12.410,0.321,432.432,9.780,423.761,11.221,29.584,0.415,31.689,0.196
400000,628.594,7.097,42.827,0.518,11.273,0.122,43.936,1.114,14.009,0.144,559.473,12.443,554.937,4.069,27.324,0.293,40.617,0.756
500000,785.011,14.775,53.505,0.882,12.330,0.066,45.397,0.284,13.973,0.443,697.611,3.457,683.289,3.228,25.467,0.872,47.743,0.264
600000,945.418,24.917,59.115,1.888,11.773,0.252,46.089,0.493,15.733,0.498,880.043,22.612,869.678,32.131,21.783,1.688,58.366,1.360
700000,1098.835,16.717,70.096,0.835,9.128,0.116,41.573,0.256,12.936,0.572,992.823,26.494,1019.289,26.257,17.821,1.088,62.660,4.770
800000,1144.026,30.082,74.033,1.547,7.744,0.239,40.308,1.151,9.522,0.552,1163.816,194.432,1105.348,72.659,13.274,0.083,69.611,1.238
900000,1284.226,42.927,80.540,0.247,6.047,0.080,37.869,1.002,6.774,0.040,1214.631,3.678,1214.371,32.458,9.340,0.083,73.550,0.912
