PPM,Dynamic Exception,Dynamic Exception Error,Dynamic Stackless,Dynamic Stackless Error,Flags,Flags Error,Inline Autobox,Inline Autobox Error,Inline Class,Inline Class Error,Result (Primitive),Result (Primitive) Error,Result (w/ Wrapper),Result (w/ Wrapper) Error,Sealed Class,Sealed Class Error,Static Exception,Static Exception Error
1,3.260,0.102,3.264,0.070,3.203,0.040,3.778,0.121,3.176,0.048,3.763,0.193,3.992,0.050,3.817,0.139,3.188,0.045
2,3.224,0.068,3.209,0.047,3.182,0.045,3.785,0.199,3.196,0.042,3.724,0.115,4.104,0.147,3.860,0.254,3.189,0.050
3,3.220,0.033,3.196,0.029,3.224,0.057,3.786,0.057,3.151,0.049,3.786,0.259,4.183,0.831,3.961,0.078,3.233,0.074
4,3.207,0.033,3.192,0.030,3.184,0.022,3.760,0.167,3.186,0.057,3.684,0.072,4.080,0.126,3.837,0.034,3.178,0.026
5,3.210,0.033,3.204,0.025,3.283,0.331,3.796,0.027,3.189,0.051,3.704,0.075,4.038,0.089,3.864,0.154,3.200,0.038
6,3.204,0.029,3.198,0.015,3.219,0.067,3.721,0.132,3.187,0.032,3.783,0.164,4.116,0.131,3.838,0.216,3.205,0.032
7,3.217,0.105,3.224,0.038,3.208,0.025,3.756,0.140,3.192,0.050,3.712,0.051,4.110,0.155,3.782,0.095,3.213,0.031
8,3.219,0.058,3.183,0.013,3.186,0.056,3.763,0.174,3.192,0.035,3.698,0.049,4.218,0.283,3.863,0.165,3.199,0.052
9,3.208,0.028,3.202,0.032,3.184,0.031,3.742,0.094,3.189,0.064,3.719,0.130,4.117,0.184,3.787,0.064,3.206,0.058
10,3.227,0.042,3.222,0.033,3.176,0.026,3.756,0.162,3.190,0.084,3.780,0.139,4.131,0.129,3.781,0.089,3.212,0.059
20,3.245,0.047,3.211,0.045,3.170,0.060,3.813,0.382,3.191,0.043,3.752,0.136,4.130,0.182,3.842,0.161,3.189,0.051
30,3.247,0.056,3.209,0.070,3.173,0.044,3.722,0.142,3.183,0.031,3.784,0.101,4.157,0.146,3.784,0.175,3.203,0.076
40,3.239,0.053,3.224,0.012,3.171,0.052,3.744,0.073,3.213,0.037,3.789,0.148,4.143,0.116,3.806,0.115,3.189,0.033
50,3.267,0.041,3.213,0.033,3.173,0.043,3.864,0.110,3.165,0.063,3.823,0.096,4.108,0.202,4.139,1.194,3.200,0.031
60,3.273,0.035,3.221,0.073,3.190,0.063,3.753,0.059,3.179,0.039,3.834,0.050,4.182,0.142,3.804,0.196,3.209,0.034
70,3.331,0.067,3.209,0.040,3.187,0.044,3.774,0.046,3.176,0.041,3.863,0.108,4.176,0.111,3.808,0.090,3.172,0.047
80,3.317,0.052,3.199,0.036,3.187,0.073,3.799,0.209,3.189,0.036,3.878,0.126,4.246,0.078,4.601,0.639,3.200,0.053
90,3.352,0.026,3.223,0.065,3.179,0.050,3.752,0.248,3.185,0.054,3.884,0.093,4.203,0.185,3.873,0.094,3.202,0.029
100,3.375,0.057,3.210,0.025,3.182,0.024,3.747,0.167,3.183,0.054,3.923,0.071,4.233,0.073,3.752,0.107,3.191,0.040
200,3.493,0.048,3.188,0.041,3.188,0.054,3.790,0.113,3.202,0.023,4.101,0.056,4.383,0.195,3.844,0.207,3.197,0.051
300,3.677,0.122,3.177,0.062,3.200,0.032,3.765,0.124,3.189,0.057,4.235,0.088,4.523,0.126,3.834,0.169,3.189,0.042
400,3.821,0.071,3.189,0.047,3.188,0.070,3.782,0.185,3.231,0.055,4.323,0.099,4.659,0.145,3.752,0.076,3.211,0.064
500,3.969,0.068,3.214,0.077,3.238,0.141,3.751,0.104,3.216,0.043,4.582,0.199,4.858,0.097,3.771,0.138,3.197,0.018
600,4.088,0.049,3.179,0.023,3.230,0.093,4.084,0.794,3.187,0.062,4.650,0.105,4.956,0.120,3.834,0.145,3.244,0.040
700,4.238,0.036,3.196,0.031,3.268,0.212,3.815,0.118,3.198,0.035,4.788,0.139,5.180,0.099,3.732,0.140,3.212,0.049
800,4.388,0.071,3.223,0.068,3.202,0.027,3.897,0.237,3.203,0.044,4.983,0.142,5.254,0.261,3.881,0.215,3.226,0.050
900,4.578,0.048,3.209,0.095,3.198,0.075,3.776,0.199,3.179,0.045,5.145,0.119,5.454,0.149,3.827,0.173,3.213,0.030
1000,4.687,0.057,3.219,0.054,3.219,0.038,3.797,0.138,3.210,0.030,5.278,0.134,5.605,0.113,3.717,0.117,3.180,0.037
2000,6.208,0.016,3.267,0.022,3.190,0.023,3.879,0.127,3.234,0.084,6.860,0.147,7.123,0.167,3.741,0.104,3.239,0.086
3000,7.738,0.108,3.260,0.043,3.204,0.033,3.864,0.052,3.218,0.058,8.341,0.163,8.563,0.260,3.809,0.205,3.256,0.032
4000,9.067,0.145,3.254,0.024,3.232,0.039,3.898,0.207,3.208,0.056,9.766,0.128,9.982,0.321,3.797,0.156,3.248,0.043
5000,10.723,0.132,3.288,0.023,3.239,0.066,3.878,0.168,3.253,0.031,11.323,0.224,11.537,0.176,3.912,0.222,3.304,0.105
6000,12.248,0.146,3.278,0.037,3.251,0.072,3.926,0.292,3.266,0.059,12.667,0.175,13.044,0.348,3.893,0.138,3.396,0.599
7000,13.759,0.291,3.337,0.045,3.242,0.022,3.889,0.076,3.263,0.052,14.206,0.400,14.422,0.421,3.849,0.122,3.303,0.077
8000,15.164,0.274,3.353,0.046,3.268,0.059,3.960,0.187,3.262,0.077,15.985,0.453,16.046,0.314,3.870,0.171,3.313,0.062
9000,16.653,0.447,3.385,0.058,3.299,0.065,3.869,0.189,3.273,0.048,16.995,0.379,16.982,0.485,3.869,0.096,3.336,0.100
10000,18.167,0.523,3.361,0.046,3.327,0.026,3.871,0.099,3.263,0.028,18.360,0.420,18.515,1.026,3.909,0.117,3.355,0.066
